"filename", "language", "C++", "CMake", "comment", "blank", "total"
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\CmakeLists.txt", "CMake", 0, 7, 0, 4, 11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\RunClient.cpp", "C++", 10, 0, 0, 1, 11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\include\ChatClient.h", "C++", 39, 0, 0, 4, 43
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\src\ChatClient.cpp", "C++", 135, 0, 0, 7, 142
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\CmakeLists.txt", "CMake", 0, -9, 0, -3, -12
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\RunServer.cpp", "C++", -35, 0, 0, -3, -38
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\entity\ChatRoom.h", "C++", -15, 0, 0, -2, -17
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\entity\User.hpp", "C++", -8, 0, 0, -2, -10
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatServer.h", "C++", -32, 0, 0, -5, -37
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatService.h", "C++", -19, 0, 0, -4, -23
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\Session.h", "C++", -34, 0, 0, -8, -42
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatServer.cpp", "C++", -67, 0, 0, -7, -74
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatService.cpp", "C++", -23, 0, 0, -6, -29
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\Session.cpp", "C++", -91, 0, 0, -9, -100
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\utils\IdGenerator.hpp", "C++", -8, 0, 0, -1, -9
"Total", "-", -148, -2, 0, -34, -184
