"filename", "language", "JSON", "CMake", "C++", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Logger.cpp", "C++", 0, 0, 198, 0, 0, 0, 28, 226
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Protocol.cpp", "C++", 0, 0, 216, 0, 0, 0, 34, 250
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Semaphore.cpp", "C++", 0, 0, 85, 0, 0, 0, 7, 92
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Spinlock.cpp", "C++", 0, 0, 11, 0, 0, 1, 3, 15
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\ThreadPool.cpp", "C++", 0, 0, 45, 0, 0, 0, 6, 51
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Timestamp.cpp", "C++", 0, 0, 32, 0, 0, 0, 7, 39
"c:\Users\linC\app\programming\C++ Project\HyperChat\README.md", "Markdown", 0, 0, 0, 42, 0, 0, 13, 55
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\CMakeLists.txt", "CMake", 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\RunTest.cpp", "C++", 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestLog.hpp", "C++", 0, 0, 169, 0, 0, 0, 20, 189
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestSerializer.hpp", "C++", 0, 0, 135, 0, 0, 0, 16, 151
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestThreadPool.hpp", "C++", 0, 0, 75, 0, 0, 0, 10, 85
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestServer\TestAsyncTcpServer.hpp", "C++", 0, 0, 98, 0, 0, 0, 21, 119
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestServer\TestChatService.hpp", "C++", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestServer\TestIoContextPool.hpp", "C++", 0, 0, 55, 0, 0, 0, 12, 67
"c:\Users\linC\app\programming\C++ Project\HyperChat\vcpkg.json", "JSON", 5, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 27, 123, 2694, 42, 3, 28, 453, 3370
